alpha,threshold,run_path,round,recall,spec,tpr,fpr,precision,ppv,npv,f1,balanced_accuracy,youden,alerts_per_1000,auc,tp,fp,tn,fn,prevalence
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_5.json,11,0.7231574480124487,0.763894932099755,0.7231574480124487,0.23610506790024505,0.331474516923875,0.331474516923875,0.9445828849747975,0.45458183273309316,0.7435261900561019,0.48705238011220375,303.96562598549355,0.8251635534991939,51120.0,103100.0,333570.0,19570.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_6.json,19,0.7324939878342057,0.7572079602445783,0.7324939878342057,0.2427920397554217,0.32813688212927755,0.32813688212927755,0.9459034214441011,0.45323646549083113,0.744850974039392,0.4897019480787841,311.02175969725636,0.8251268523013406,51780.0,106020.0,330650.0,18910.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_7.json,2,0.7381524968170887,0.7525133395928275,0.7381524968170887,0.24748666040717246,0.325616224648986,0.325616224648986,0.9466739650254963,0.45189226638953844,0.7453329182049582,0.49066583640991634,315.85067801955216,0.8229879408947635,52180.0,108070.0,328600.0,18510.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_8.json,9,0.7264110906776065,0.7598186273387226,0.7264110906776065,0.2401813726612774,0.32868207130512705,0.32868207130512705,0.9449206846467121,0.4525824078970562,0.7431148590081645,0.4862297180163291,307.9273099968464,0.8237378711879181,51350.0,104880.0,331790.0,19340.0,0.13932907600126143
0.1,0.5,/Users/ginasixt/federated-learning/result/alpha01/thr_0.5/run_9.json,20,0.7203281935210072,0.7659330844802712,0.7203281935210072,0.23406691551972886,0.33252791745575655,0.33252791745575655,0.9441888038844818,0.4550084889643463,0.7431306390006391,0.4862612780012783,301.8172500788395,0.8261875959650556,50920.0,102210.0,334460.0,19770.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_1.json,5,0.7207525816947234,0.7656811780062748,0.7207525816947234,0.23431882199372525,0.33241991257258435,0.33241991257258435,0.9442514614928408,0.4549919628505091,0.7432168798504991,0.4864337597009982,302.09318826868497,0.8234945285427264,50950.0,102320.0,334350.0,19740.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_10.json,2,0.6989673221106238,0.7778413905237365,0.6989673221106238,0.22215860947626354,0.33745389974047263,0.33745389974047263,0.9410428326037569,0.4551609783059279,0.7384043563171802,0.4768087126343603,288.59192683695994,0.8226892532708324,49410.0,97010.0,339660.0,21280.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_2.json,12,0.714245296364408,0.7716582316165526,0.714245296364408,0.22834176838344744,0.33615179760319575,0.33615179760319575,0.943442714749692,0.45715061795463807,0.7429517639904804,0.4859035279809607,296.04225796278774,0.8254599345424143,50490.0,99710.0,336960.0,20200.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_3.json,3,0.6947234403734616,0.7818718941076785,0.6947234403734616,0.21812810589232143,0.34019118869492937,0.34019118869492937,0.9405509641873279,0.45673099279237395,0.7382976672405701,0.4765953344811402,284.53169347209086,0.8228069585380422,49110.0,95250.0,341420.0,21580.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_4.json,5,0.6928844249540246,0.786497812993794,0.6928844249540246,0.21350218700620607,0.34442022361296676,0.34442022361296676,0.9405449815144461,0.46012212306247063,0.7396911189739093,0.47938223794781853,280.29407127089246,0.8237985582334996,48980.0,93230.0,343440.0,21710.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_5.json,9,0.6474748903663885,0.814963244555385,0.6474748903663885,0.18503675544461493,0.3616180769534645,0.3616180769534645,0.9345571049659918,0.46405758896887356,0.7312190674608867,0.46243813492177344,249.4678334910123,0.8247920579424218,45770.0,80800.0,355870.0,24920.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_6.json,7,0.6841137360305559,0.7924748666040717,0.6841137360305559,0.20752513339592826,0.3479637357893222,0.3479637357893222,0.9393832455616483,0.46129632279296034,0.7382943013173138,0.47658860263462755,273.9277830337433,0.824488497990698,48360.0,90620.0,346050.0,22330.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_7.json,16,0.7083038619323808,0.7750704193097763,0.7083038619323808,0.22492958069022373,0.33764920089014766,0.33764920089014766,0.9425738713899797,0.4573020367156818,0.7416871406210785,0.4833742812421571,292.2776726584674,0.8255451937996401,50070.0,98220.0,338450.0,20620.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_8.json,7,0.6942990521997454,0.7842077541392813,0.6942990521997454,0.21579224586071863,0.34247435629055895,0.34247435629055895,0.9406400219750034,0.45869158878504673,0.7392534031695134,0.47850680633902676,282.46215704824976,0.8246360252083743,49080.0,94230.0,342440.0,21610.0,0.13932907600126143
0.3,0.35,/Users/ginasixt/federated-learning/result/alpha03/thr_0.35/run_9.json,6,0.6901966331871552,0.786864222410516,0.6901966331871552,0.21313577758948404,0.3439306358381503,0.3439306358381503,0.9400820793433653,0.45909197835803345,0.7385304277988356,0.4770608555976712,279.60422579627874,0.8243287186827849,48790.0,93070.0,343600.0,21900.0,0.13932907600126143
